Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,1,2,0,1,2,5849,0,-99999,360,1,3,1
LP001003,1,1,1,1,2,4583,1508,128,360,1,1,2
LP001005,1,1,0,1,1,3000,0,66,360,1,3,1
LP001006,1,1,0,2,2,2583,2358,120,360,1,3,1
LP001008,1,2,0,1,2,6000,0,141,360,1,3,1
LP001011,1,1,2,1,1,5417,4196,267,360,1,3,1
LP001013,1,1,0,2,2,2333,1516,95,360,1,3,1
LP001014,1,1,3,1,2,3036,2504,158,360,0,2,2
LP001018,1,1,2,1,2,4006,1526,168,360,1,3,1
LP001020,1,1,1,1,2,12841,10968,349,360,1,2,2
LP001024,1,1,2,1,2,3200,700,70,360,1,3,1
LP001027,1,1,2,1,-99999,2500,1840,109,360,1,3,1
LP001028,1,1,2,1,2,3073,8106,200,360,1,3,1
LP001029,1,2,0,1,2,1853,2840,114,360,1,1,2
LP001030,1,1,2,1,2,1299,1086,17,120,1,3,1
LP001032,1,2,0,1,2,4950,0,125,360,1,3,1
LP001034,1,2,1,2,2,3596,0,100,240,-99999,3,1
LP001036,2,2,0,1,2,3510,0,76,360,0,3,2
LP001038,1,1,0,2,2,4887,0,133,360,1,1,2
LP001041,1,1,0,1,-99999,2600,3500,115,-99999,1,3,1
LP001043,1,1,0,2,2,7660,0,104,360,0,3,2
LP001046,1,1,1,1,2,5955,5625,315,360,1,3,1
LP001047,1,1,0,2,2,2600,1911,116,360,0,2,2
LP001050,-99999,1,2,2,2,3365,1917,112,360,0,1,2
LP001052,1,1,1,1,-99999,3717,2925,151,360,-99999,2,2
LP001066,1,1,0,1,1,9560,0,191,360,1,2,1
LP001068,1,1,0,1,2,2799,2253,122,360,1,2,1
LP001073,1,1,2,2,2,4226,1040,110,360,1,3,1
LP001086,1,2,0,2,2,1442,0,35,360,1,3,2
LP001087,2,2,2,1,-99999,3750,2083,120,360,1,2,1
LP001091,1,1,1,1,-99999,4166,3369,201,360,-99999,3,2
LP001095,1,2,0,1,2,3167,0,74,360,1,3,2
LP001097,1,2,1,1,1,4692,0,106,360,1,1,2
LP001098,1,1,0,1,2,3500,1667,114,360,1,2,1
LP001100,1,2,3,1,2,12500,3000,320,360,1,1,2
LP001106,1,1,0,1,2,2275,2067,-99999,360,1,3,1
LP001109,1,1,0,1,2,1828,1330,100,-99999,0,3,2
LP001112,2,1,0,1,2,3667,1459,144,360,1,2,1
LP001114,1,2,0,1,2,4166,7210,184,360,1,3,1
LP001116,1,2,0,2,2,3748,1668,110,360,1,2,1
LP001119,1,2,0,1,2,3600,0,80,360,1,3,2
LP001120,1,2,0,1,2,1800,1213,47,360,1,3,1
LP001123,1,1,0,1,2,2400,0,75,360,-99999,3,1
